term,df,months,recent_df,recency,score,topic1,topic2,words,lang
university,15,6,8,0.533,7.697,frontier,cybersecurity,1,en
반독점,8,6,8,1.0,7.696,law,frontier,1,ko
집행 가능한,8,6,8,1.0,7.696,youth,norms,2,ko
유도할,8,6,8,1.0,7.696,cybersecurity,safety_research,1,ko
앱과,8,6,8,1.0,7.696,frontier,agentic_ai,1,ko
Authorization,8,6,8,1.0,7.696,agentic_ai,safety_research,1,en
분절,8,6,8,1.0,7.696,law,guideline,1,ko
조회,8,6,8,1.0,7.696,agentic_ai,frontier,1,ko
위험 영역,8,6,8,1.0,7.696,safety_research,frontier,2,ko
Implications,8,6,8,1.0,7.696,national_security,safety_research,1,en
클라우드 서비스,8,6,8,1.0,7.696,guideline,cybersecurity,2,ko
Shared,8,6,8,1.0,7.696,cybersecurity,youth,1,en
동원,8,6,8,1.0,7.696,national_security,physical_ai,1,ko
QA,8,6,8,1.0,7.696,deepfake_disinfo,open_weight,1,en
지연시간,8,6,8,1.0,7.696,frontier,safety_research,1,ko
경험 바탕,8,6,8,1.0,7.696,norms,politics,2,ko
집중되,8,6,8,1.0,7.696,cybersecurity,norms,1,ko
역설,8,6,8,1.0,7.696,politics,guideline,1,ko
opens,8,6,8,1.0,7.696,frontier,norms,1,en
동일하게,8,6,8,1.0,7.696,frontier,law,1,ko
초안 공개,8,6,8,1.0,7.696,guideline,cybersecurity,2,ko
상향,8,6,8,1.0,7.696,frontier,law,1,ko
자율 무기,8,6,8,1.0,7.696,national_security,guideline,2,ko
결정적,8,6,8,1.0,7.696,cybersecurity,agentic_ai,1,ko
메인,8,6,8,1.0,7.696,law,safety_research,1,ko
휴머노이드 로봇,8,6,8,1.0,7.696,physical_ai,frontier,2,ko
요금,8,6,8,1.0,7.696,frontier,politics,1,ko
카탈로그,8,6,8,1.0,7.696,law,agentic_ai,1,ko
문제 제기,8,6,8,1.0,7.696,frontier,cybersecurity,2,ko
브루킹스,8,6,8,1.0,7.696,frontier,norms,1,ko
기조연설,8,6,8,1.0,7.696,physical_ai,agentic_ai,1,ko
제공한,8,6,8,1.0,7.696,safety_research,politics,1,ko
산업 육성,11,10,4,0.364,7.692,law,norms,2,ko
미중,11,5,10,0.909,7.69,norms,frontier,1,ko
Here,11,5,10,0.909,7.69,frontier,cybersecurity,1,en
신체,11,5,10,0.909,7.69,healthcare,youth,1,ko
Consortium,11,5,10,0.909,7.69,frontier,cybersecurity,1,en
공감,11,5,10,0.909,7.69,norms,healthcare,1,ko
Mitigation,11,5,10,0.909,7.69,safety_research,law,1,en
대한민국 인공지능,11,5,10,0.909,7.69,norms,law,2,ko
기업가치,11,5,10,0.909,7.69,frontier,safety_research,1,ko
관련 소송,11,5,10,0.909,7.69,law,frontier,2,ko
윈도우,11,5,10,0.909,7.69,safety_research,frontier,1,ko
AUROC,11,5,10,0.909,7.69,open_weight,frontier,1,en
감지하,11,5,10,0.909,7.69,frontier,open_weight,1,ko
과정에서,11,5,10,0.909,7.69,safety_research,incidents,1,ko
성능 비교,11,5,10,0.909,7.69,safety_research,cybersecurity,2,ko
관리 프레임워크,11,5,10,0.909,7.69,frontier,norms,2,ko
모아,11,5,10,0.909,7.69,guideline,safety_research,1,ko
커밋,11,5,10,0.909,7.69,cybersecurity,frontier,1,ko
정리해,11,5,10,0.909,7.69,cybersecurity,safety_research,1,ko
정책 반하,11,5,10,0.909,7.69,cybersecurity,physical_ai,2,ko
반하 요청,11,5,10,0.909,7.69,cybersecurity,physical_ai,2,ko
military,9,6,8,0.889,7.667,national_security,frontier,1,en
민사상,9,6,8,0.889,7.667,law,frontier,1,ko
funding,9,6,8,0.889,7.667,youth,frontier,1,en
가을,9,6,8,0.889,7.667,agentic_ai,guideline,1,ko
해당 모델,9,6,8,0.889,7.667,cybersecurity,frontier,2,ko
구분하지,9,6,8,0.889,7.667,safety_research,frontier,1,ko
합리적,9,6,8,0.889,7.667,law,guideline,1,ko
출발점,9,6,8,0.889,7.667,norms,frontier,1,ko
와의 상호작용,9,6,8,0.889,7.667,law,deepfake_disinfo,2,ko
원칙적,9,6,8,0.889,7.667,cybersecurity,law,1,ko
피하고,9,6,8,0.889,7.667,guideline,norms,1,ko
미친,9,6,8,0.889,7.667,law,youth,1,ko
격리된,9,6,8,0.889,7.667,agentic_ai,cybersecurity,1,ko
단기적,9,6,8,0.889,7.667,healthcare,frontier,1,ko
간접적,9,6,8,0.889,7.667,cybersecurity,agentic_ai,1,ko
수명주기,9,6,8,0.889,7.667,standards,law,1,ko
Explainable,9,6,8,0.889,7.667,frontier,cybersecurity,1,en
연구 에이전트,9,6,8,0.889,7.667,safety_research,agentic_ai,2,ko
정리하,9,6,8,0.889,7.667,guideline,frontier,1,ko
분류하,9,6,8,0.889,7.667,agentic_ai,safety_research,1,ko
시스템 안전,9,6,8,0.889,7.667,agentic_ai,safety_research,2,ko
안보 위협,9,6,8,0.889,7.667,national_security,cybersecurity,2,ko
선택지,9,6,8,0.889,7.667,frontier,national_security,1,ko
Judges,9,6,8,0.889,7.667,agentic_ai,law,1,en
failures,9,6,8,0.889,7.667,safety_research,cybersecurity,1,en
Interactions,9,6,8,0.889,7.667,standards,agentic_ai,1,en
부족 문제,9,6,8,0.889,7.667,norms,law,2,ko
Pilot,9,6,8,0.889,7.667,frontier,cybersecurity,1,en
곳이,9,6,8,0.889,7.667,cybersecurity,law,1,ko
Community,9,6,8,0.889,7.667,safety_research,open_weight,1,en
겉보기,9,6,8,0.889,7.667,cybersecurity,safety_research,1,ko
미리보기,9,6,8,0.889,7.667,frontier,standards,1,ko
정밀도,9,6,8,0.889,7.667,safety_research,cybersecurity,1,ko
테크,9,6,8,0.889,7.667,frontier,law,1,ko
국립표준기술연구소,9,6,8,0.889,7.667,cybersecurity,law,1,ko
부정확한,9,6,8,0.889,7.667,safety_research,deepfake_disinfo,1,ko
의사소통,9,6,8,0.889,7.667,frontier,norms,1,ko
민간 부문,9,6,8,0.889,7.667,national_security,guideline,2,ko
뉴섬,9,6,8,0.889,7.667,law,frontier,1,ko
다리오,9,6,8,0.889,7.667,frontier,cybersecurity,1,ko
비용 부담,9,6,8,0.889,7.667,open_weight,law,2,ko
첨단 인공지능,9,6,8,0.889,7.667,frontier,law,2,ko
촬영,9,6,8,0.889,7.667,deepfake_disinfo,cybersecurity,1,ko
NIST AI Risk,9,6,8,0.889,7.667,standards,healthcare,3,en
포렌식,9,6,8,0.889,7.667,deepfake_disinfo,cybersecurity,1,ko
Apple,9,6,8,0.889,7.667,frontier,cybersecurity,1,en
시스템 수준,9,6,8,0.889,7.667,agentic_ai,cybersecurity,2,ko
에이전트 실행,9,6,8,0.889,7.667,agentic_ai,cybersecurity,2,ko
서명한,9,6,8,0.889,7.667,law,frontier,1,ko
월간,9,6,8,0.889,7.667,law,guideline,1,ko
보이는지,9,6,8,0.889,7.667,safety_research,frontier,1,ko
진행되고,9,6,8,0.889,7.667,cybersecurity,safety_research,1,ko
short,9,6,8,0.889,7.667,frontier,open_weight,1,en
프로파일,9,6,8,0.889,7.667,agentic_ai,guideline,1,ko
주변,9,6,8,0.889,7.667,frontier,physical_ai,1,ko
다뤄야,9,6,8,0.889,7.667,youth,safety_research,1,ko
Kimi K2,9,6,8,0.889,7.667,frontier,open_weight,2,en
기술 기반,9,6,8,0.889,7.667,guideline,frontier,2,ko
공공데이터,9,6,8,0.889,7.667,guideline,standards,1,ko
쪽으,9,6,8,0.889,7.667,safety_research,cybersecurity,1,ko
복잡도,9,6,8,0.889,7.667,frontier,safety_research,1,ko
기반 분석,9,6,8,0.889,7.667,safety_research,norms,2,ko
학제,9,6,8,0.889,7.667,national_security,politics,1,ko
출시된,13,6,8,0.615,7.664,cybersecurity,safety_research,1,ko
처리하,12,5,10,0.833,7.66,norms,guideline,1,ko
평가 모델,12,5,10,0.833,7.66,frontier,safety_research,2,ko
결정 과정,12,5,10,0.833,7.66,law,politics,2,ko
Unified,12,5,10,0.833,7.66,frontier,cybersecurity,1,en
편을,12,5,10,0.833,7.66,safety_research,guideline,1,ko
하위법령,9,9,5,0.556,7.658,law,guideline,1,ko
참석해,9,9,5,0.556,7.658,norms,standards,1,ko
확대되,12,6,8,0.667,7.653,guideline,safety_research,1,ko
수석,12,6,8,0.667,7.653,law,agentic_ai,1,ko
테러,12,6,8,0.667,7.653,law,cybersecurity,1,ko
보편적,10,6,8,0.8,7.652,safety_research,cybersecurity,1,ko
Zhipu,10,6,8,0.8,7.652,frontier,open_weight,1,en
database,10,6,8,0.8,7.652,agentic_ai,frontier,1,en
competition,10,6,8,0.8,7.652,agentic_ai,national_security,1,en
비서,10,6,8,0.8,7.652,cybersecurity,agentic_ai,1,ko
중간 수준,10,6,8,0.8,7.652,cybersecurity,frontier,2,ko
가동,10,6,8,0.8,7.652,national_security,cybersecurity,1,ko
규제샌드박스,10,6,8,0.8,7.652,law,physical_ai,1,ko
암호화된,10,6,8,0.8,7.652,cybersecurity,guideline,1,ko
Securing,10,6,8,0.8,7.652,cybersecurity,agentic_ai,1,en
advice,10,6,8,0.8,7.652,frontier,guideline,1,en
기법들,10,6,8,0.8,7.652,cybersecurity,norms,1,ko
문제 해결하,10,6,8,0.8,7.652,norms,guideline,2,ko
질문들,10,6,8,0.8,7.652,guideline,frontier,1,ko
base,10,6,8,0.8,7.652,frontier,safety_research,1,en
보임,10,6,8,0.8,7.652,safety_research,cybersecurity,1,ko
Recognition,10,6,8,0.8,7.652,guideline,law,1,en
윤리적 문제,10,6,8,0.8,7.652,guideline,youth,2,ko
전방,10,6,8,0.8,7.652,frontier,norms,1,ko
발전시키,10,6,8,0.8,7.652,norms,national_security,1,ko
카테고리,10,6,8,0.8,7.652,frontier,safety_research,1,ko
경쟁사,10,6,8,0.8,7.652,frontier,law,1,ko
복잡,10,6,8,0.8,7.652,safety_research,law,1,ko
투입해,11,6,8,0.727,7.649,cybersecurity,law,1,ko
일간,11,6,8,0.727,7.649,cybersecurity,frontier,1,ko
대중국,11,6,8,0.727,7.649,politics,law,1,ko
Palantir,11,6,8,0.727,7.649,national_security,norms,1,en
연방기관,11,6,8,0.727,7.649,frontier,national_security,1,ko
키워드,11,6,8,0.727,7.649,safety_research,norms,1,ko
대면,11,6,8,0.727,7.649,frontier,safety_research,1,ko
카카오,13,4,13,1.0,7.645,agentic_ai,youth,1,ko
원고들,13,4,13,1.0,7.645,law,frontier,1,ko
China's,13,4,13,1.0,7.645,national_security,norms,1,en
연령 확인,13,4,13,1.0,7.645,youth,law,2,ko
기능적,13,4,13,1.0,7.645,safety_research,guideline,1,ko
단일한,13,4,13,1.0,7.645,norms,frontier,1,ko
보안 테스트,13,4,13,1.0,7.645,cybersecurity,frontier,2,ko
기하학적,13,4,13,1.0,7.645,safety_research,guideline,1,ko
루브릭,13,4,13,1.0,7.645,agentic_ai,safety_research,1,ko
Oceania,20,3,20,1.0,7.597,youth,law,1,en
hacked,14,4,13,0.929,7.596,cybersecurity,frontier,1,en
인간 존엄성,19,3,19,1.0,7.475,norms,guideline,2,ko
LLM Agent,12,4,12,1.0,7.431,cybersecurity,safety_research,2,en
달성했,12,4,12,1.0,7.431,safety_research,cybersecurity,1,ko
human-in-the-loop,12,4,12,1.0,7.431,cybersecurity,safety_research,1,en
일관되지,12,4,12,1.0,7.431,frontier,safety_research,1,ko
뮤직,12,4,12,1.0,7.431,law,frontier,1,ko
problem,12,4,12,1.0,7.431,safety_research,law,1,en
관할권,12,4,12,1.0,7.431,law,cybersecurity,1,ko
window,12,4,12,1.0,7.431,frontier,cybersecurity,1,en
기술 기업들,12,4,12,1.0,7.431,youth,law,2,ko
스탠포드,12,4,12,1.0,7.431,healthcare,sovereign_ai,1,ko
백본,12,4,12,1.0,7.431,safety_research,agentic_ai,1,ko
연구 인공지능,20,3,19,0.95,7.428,agentic_ai,guideline,2,ko
Specialist news,20,3,19,0.95,7.428,frontier,law,2,en
news and analysis,20,3,19,0.95,7.428,frontier,law,3,en
analysis on legal,20,3,19,0.95,7.428,frontier,law,3,en
legal risk,20,3,19,0.95,7.428,frontier,law,2,en
risk and regulation,20,3,19,0.95,7.428,frontier,law,3,en
모델과,9,5,9,1.0,7.426,open_weight,frontier,1,ko
사용 금지,9,5,9,1.0,7.426,law,national_security,2,ko
폐쇄형 모델,9,5,9,1.0,7.426,open_weight,frontier,2,ko
Azure,9,5,9,1.0,7.426,frontier,cybersecurity,1,en
기술 분야,9,5,9,1.0,7.426,national_security,norms,2,ko
하원의원,9,5,9,1.0,7.426,law,politics,1,ko
DMA,9,5,9,1.0,7.426,law,frontier,1,en
에이전트 환경,9,5,9,1.0,7.426,cybersecurity,agentic_ai,2,ko
Error,9,5,9,1.0,7.426,safety_research,guideline,1,en
escalation,9,5,9,1.0,7.426,safety_research,national_security,1,en
제도화,9,5,9,1.0,7.426,guideline,cybersecurity,1,ko
Mechanisms,9,5,9,1.0,7.426,open_weight,cybersecurity,1,en
점검할,9,5,9,1.0,7.426,guideline,cybersecurity,1,ko
On-Policy Distillation,9,5,9,1.0,7.426,safety_research,cybersecurity,2,en
선택하고,9,5,9,1.0,7.426,safety_research,frontier,1,ko
유리한,9,5,9,1.0,7.426,frontier,law,1,ko
알리지,9,5,9,1.0,7.426,law,frontier,1,ko
독자적인,9,5,9,1.0,7.426,deepfake_disinfo,norms,1,ko
Reliability,9,5,9,1.0,7.426,safety_research,cybersecurity,1,en
Vision-Language Models,9,5,9,1.0,7.426,safety_research,open_weight,2,en
안전하고 책임,9,5,9,1.0,7.426,norms,national_security,2,ko
구체적인 내용,9,5,9,1.0,7.426,frontier,law,2,ko
금지명령,9,5,9,1.0,7.426,law,frontier,1,ko
중립적,9,5,9,1.0,7.426,law,politics,1,ko
아일랜드,9,5,9,1.0,7.426,law,guideline,1,ko
NIS2,9,5,9,1.0,7.426,cybersecurity,law,1,en
Instagram,9,5,9,1.0,7.426,youth,law,1,en
북부,9,5,9,1.0,7.426,law,frontier,1,ko
SQL,9,5,9,1.0,7.426,cybersecurity,safety_research,1,en
맥락적,9,5,9,1.0,7.426,safety_research,politics,1,ko
정렬 실패,9,5,9,1.0,7.426,safety_research,healthcare,2,ko
Glasswing,9,5,9,1.0,7.426,cybersecurity,frontier,1,en
학습용 데이터,9,5,9,1.0,7.426,law,safety_research,2,ko
가정폭력,9,5,9,1.0,7.426,deepfake_disinfo,law,1,ko
공개 프리뷰,9,5,9,1.0,7.426,deepfake_disinfo,incidents,2,ko
Stanford,9,5,9,1.0,7.426,safety_research,agentic_ai,1,en
영향 평가,9,5,9,1.0,7.426,law,norms,2,ko
우수,9,5,9,1.0,7.426,national_security,sovereign_ai,1,ko
해제,9,5,9,1.0,7.426,frontier,cybersecurity,1,ko
않는 문제,9,5,9,1.0,7.426,safety_research,frontier,2,ko
정보만,9,5,9,1.0,7.426,law,frontier,1,ko
디지털 환경,9,5,9,1.0,7.426,youth,cybersecurity,2,ko
책임감 있게,9,5,9,1.0,7.426,norms,law,2,ko
모델 증류,9,5,9,1.0,7.426,frontier,national_security,2,ko
명확하지,9,5,9,1.0,7.426,law,national_security,1,ko
정책 준수,9,5,9,1.0,7.426,agentic_ai,frontier,2,ko
오라클,9,5,9,1.0,7.426,safety_research,incidents,1,ko
추론 단계,9,5,9,1.0,7.426,safety_research,open_weight,2,ko
boundary,9,5,9,1.0,7.426,safety_research,cybersecurity,1,en
Tuning,9,5,9,1.0,7.426,safety_research,agentic_ai,1,en
계획하고,9,5,9,1.0,7.426,agentic_ai,safety_research,1,ko
보상 신호,9,5,9,1.0,7.426,frontier,open_weight,2,ko
DSIT,9,5,9,1.0,7.426,standards,cybersecurity,1,en
로보틱스,9,5,9,1.0,7.426,physical_ai,healthcare,1,ko
AlphaEvolve,9,5,9,1.0,7.426,frontier,norms,1,en
구성하,9,5,9,1.0,7.426,guideline,law,1,ko
신뢰 가능한,9,5,9,1.0,7.426,safety_research,norms,2,ko
Virkkunen,9,5,9,1.0,7.426,law,guideline,1,en
사후 모니터링,9,5,9,1.0,7.426,law,norms,2,ko
Sciences,9,5,9,1.0,7.426,agentic_ai,frontier,1,en
interpretability,11,7,6,0.545,7.422,safety_research,frontier,1,en
인공지능 안전,11,7,6,0.545,7.422,norms,agentic_ai,2,ko
RSS,41,2,41,1.0,7.391,cybersecurity,frontier,1,en
문법,10,5,9,0.9,7.39,safety_research,politics,1,ko
Dense,10,5,9,0.9,7.39,frontier,open_weight,1,en
검증 가능성,10,5,9,0.9,7.39,agentic_ai,standards,2,ko
안정화,10,5,9,0.9,7.39,national_security,safety_research,1,ko
위협 탐지,10,5,9,0.9,7.39,cybersecurity,incidents,2,ko
백서,10,5,9,0.9,7.39,guideline,youth,1,ko
SEED,10,5,9,0.9,7.39,safety_research,frontier,1,en
만족,10,5,9,0.9,7.39,safety_research,law,1,ko
공개 데이터,10,5,9,0.9,7.39,frontier,norms,2,ko
family,10,5,9,0.9,7.39,frontier,law,1,en
외국인,10,5,9,0.9,7.39,cybersecurity,guideline,1,ko
재현 가능한,10,5,9,0.9,7.39,agentic_ai,cybersecurity,2,ko
중동,10,5,9,0.9,7.39,cybersecurity,physical_ai,1,ko
침해 우려,10,5,9,0.9,7.39,frontier,law,2,ko
유해 출력,10,5,9,0.9,7.39,safety_research,cybersecurity,2,ko
촉구하고,10,5,9,0.9,7.39,frontier,national_security,1,ko
민사,10,5,9,0.9,7.39,law,youth,1,ko
추구하,10,5,9,0.9,7.39,sovereign_ai,safety_research,1,ko
머물러,10,5,9,0.9,7.39,agentic_ai,norms,1,ko
모델 선택,10,5,9,0.9,7.39,standards,cybersecurity,2,ko
coming,10,5,9,0.9,7.39,frontier,law,1,en
Warner,10,5,9,0.9,7.39,law,deepfake_disinfo,1,en
EC,10,5,9,0.9,7.39,deepfake_disinfo,guideline,1,en
Matching,10,5,9,0.9,7.39,safety_research,frontier,1,en
내재된,10,5,9,0.9,7.39,safety_research,frontier,1,ko
보완하,10,5,9,0.9,7.39,safety_research,frontier,1,ko
완화 전략,10,5,9,0.9,7.39,cybersecurity,agentic_ai,2,ko
리더보드,10,5,9,0.9,7.39,frontier,guideline,1,ko
알트먼,10,5,9,0.9,7.39,frontier,law,1,ko
기사 내용,10,5,9,0.9,7.39,frontier,agentic_ai,2,ko
추가 확인,10,5,9,0.9,7.39,safety_research,frontier,2,ko
프롬프트 기반,10,5,9,0.9,7.39,safety_research,cybersecurity,2,ko
클래스,13,4,12,0.923,7.384,safety_research,cybersecurity,1,ko
관련 자료,10,7,6,0.6,7.38,frontier,safety_research,2,ko
인공지능 규제,10,7,6,0.6,7.38,law,national_security,2,ko
갖추지,10,7,6,0.6,7.38,frontier,law,1,ko
역량 평가,10,7,6,0.6,7.38,cybersecurity,safety_research,2,ko
진흥,10,8,5,0.5,7.376,law,frontier,1,ko
동등한,11,5,9,0.818,7.367,norms,law,1,ko
후속 연구,11,5,9,0.818,7.367,safety_research,standards,2,ko
의무 적용,11,5,9,0.818,7.367,law,guideline,2,ko
방법론적,11,5,9,0.818,7.367,safety_research,frontier,1,ko
시장감시,12,5,9,0.75,7.353,law,guideline,1,ko
알고리즘 편향,13,5,9,0.692,7.347,law,norms,2,ko
포함됐,9,7,6,0.667,7.342,law,cybersecurity,1,ko
국내 기업,9,7,6,0.667,7.342,frontier,standards,2,ko
위험 줄이,9,7,6,0.667,7.342,safety_research,open_weight,2,ko
인공지능 윤리,9,7,6,0.667,7.342,norms,guideline,2,ko
없으면,9,7,6,0.667,7.342,agentic_ai,safety_research,1,ko
아니지,9,7,6,0.667,7.342,law,cybersecurity,1,ko
편견,9,7,6,0.667,7.342,guideline,deepfake_disinfo,1,ko
Ecosystem,9,7,6,0.667,7.342,frontier,agentic_ai,1,en
표결,9,7,6,0.667,7.342,law,youth,1,ko
기술 지원,9,7,6,0.667,7.342,law,frontier,2,ko
과학 분야,9,7,6,0.667,7.342,frontier,norms,2,ko
대응하고,9,7,6,0.667,7.342,cybersecurity,guideline,1,ko
권장,9,7,6,0.667,7.342,guideline,open_weight,1,ko
Agenda,9,7,6,0.667,7.342,politics,cybersecurity,1,en
정책 변화,9,7,6,0.667,7.342,law,youth,2,ko
부족하고,9,7,6,0.667,7.342,law,frontier,1,ko
Frontier AI Safety,9,7,6,0.667,7.342,frontier,norms,3,en
메모,12,6,7,0.583,7.32,safety_research,frontier,1,ko
관계 부처,8,7,6,0.75,7.31,national_security,cybersecurity,2,ko
리터러시 교육,8,7,6,0.75,7.31,youth,deepfake_disinfo,2,ko
생성 여부,8,7,6,0.75,7.31,frontier,deepfake_disinfo,2,ko
바이오,8,7,6,0.75,7.31,cybersecurity,healthcare,1,ko
악용할,8,7,6,0.75,7.31,cybersecurity,agentic_ai,1,ko
관련 의무,8,7,6,0.75,7.31,law,guideline,2,ko
예측 가능성,8,7,6,0.75,7.31,guideline,law,2,ko
정보보안,8,7,6,0.75,7.31,law,cybersecurity,1,ko
있으면,8,7,6,0.75,7.31,frontier,law,1,ko
맡고,8,7,6,0.75,7.31,law,guideline,1,ko
High-Level,8,7,6,0.75,7.31,law,cybersecurity,1,en
CSET,8,7,6,0.75,7.31,national_security,norms,1,en
고용주,8,7,6,0.75,7.31,law,guideline,1,ko
세기,8,7,6,0.75,7.31,frontier,agentic_ai,1,ko
논평,8,7,6,0.75,7.31,frontier,national_security,1,ko
자동화 의사결정,8,7,6,0.75,7.31,law,deepfake_disinfo,2,ko
trained,8,7,6,0.75,7.31,frontier,law,1,en
seoul,8,7,6,0.75,7.31,frontier,norms,1,en
다양한 방식,8,7,6,0.75,7.31,safety_research,healthcare,2,ko
highlights,8,7,6,0.75,7.31,deepfake_disinfo,agentic_ai,1,en
태평양,8,7,6,0.75,7.31,norms,frontier,1,ko
민감 데이터,8,7,6,0.75,7.31,safety_research,cybersecurity,2,ko
위험평가,8,7,6,0.75,7.31,law,norms,1,ko
선호하,8,7,6,0.75,7.31,frontier,norms,1,ko
Whistleblower,8,7,6,0.75,7.31,law,frontier,1,en
시장 변화,8,7,6,0.75,7.31,frontier,agentic_ai,2,ko
안전사고,8,7,6,0.75,7.31,incidents,law,1,ko
대출,8,7,6,0.75,7.31,guideline,safety_research,1,ko
있었으나,8,7,6,0.75,7.31,frontier,cybersecurity,1,ko
확실한,8,7,6,0.75,7.31,guideline,deepfake_disinfo,1,ko
Stop,8,7,6,0.75,7.31,frontier,law,1,en
균형 있게,8,7,6,0.75,7.31,frontier,cybersecurity,2,ko
European Commission,8,7,6,0.75,7.31,law,cybersecurity,2,en
위에,8,7,6,0.75,7.31,frontier,sovereign_ai,1,ko
국제사회,8,7,6,0.75,7.31,norms,law,1,ko
제시됨,8,7,6,0.75,7.31,cybersecurity,agentic_ai,1,ko
사고 발생,8,7,6,0.75,7.31,incidents,law,2,ko
인공지능 정책,8,7,6,0.75,7.31,cybersecurity,agentic_ai,2,ko
참석한,9,8,5,0.556,7.308,cybersecurity,norms,1,ko
돕고,9,8,5,0.556,7.308,cybersecurity,guideline,1,ko
성능 보여주,9,8,5,0.556,7.308,safety_research,national_security,2,ko
시작해,9,8,5,0.556,7.308,frontier,open_weight,1,ko
능력 평가하,9,8,5,0.556,7.308,cybersecurity,agentic_ai,2,ko
설정하,9,8,5,0.556,7.308,frontier,guideline,1,ko
선정해,7,7,6,0.857,7.289,frontier,cybersecurity,1,ko
Exchange,7,7,6,0.857,7.289,deepfake_disinfo,standards,1,en
시장 경쟁,7,7,6,0.857,7.289,law,frontier,2,ko
연방 법원,7,7,6,0.857,7.289,frontier,national_security,2,ko
기본권 보호,7,7,6,0.857,7.289,law,youth,2,ko
machine learning,7,7,6,0.857,7.289,standards,norms,2,en
참석,7,7,6,0.857,7.289,norms,physical_ai,1,ko
남용,7,7,6,0.857,7.289,law,frontier,1,ko
변화 따른,7,7,6,0.857,7.289,law,frontier,2,ko
형사,7,7,6,0.857,7.289,law,deepfake_disinfo,1,ko
선택한,7,7,6,0.857,7.289,frontier,national_security,1,ko
임상시험,7,7,6,0.857,7.289,healthcare,frontier,1,ko
현황 분석,7,7,6,0.857,7.289,guideline,norms,2,ko
시급한,7,6,7,1.0,7.284,national_security,norms,1,ko
수용성,7,6,7,1.0,7.284,physical_ai,norms,1,ko
만료,7,6,7,1.0,7.284,frontier,politics,1,ko
교육부,7,6,7,1.0,7.284,cybersecurity,politics,1,ko
말라고,7,6,7,1.0,7.284,deepfake_disinfo,law,1,ko
파괴적,7,6,7,1.0,7.284,frontier,cybersecurity,1,ko
Far,7,6,7,1.0,7.284,frontier,open_weight,1,en
주류,7,6,7,1.0,7.284,safety_research,norms,1,ko
소상공인,7,6,7,1.0,7.284,law,youth,1,ko
분류한,7,6,7,1.0,7.284,frontier,agentic_ai,1,ko
integration,7,6,7,1.0,7.284,frontier,norms,1,en
책무성,7,6,7,1.0,7.284,norms,frontier,1,ko
협력 기반,7,6,7,1.0,7.284,norms,guideline,2,ko
재앙적,7,6,7,1.0,7.284,frontier,law,1,ko
phase,7,6,7,1.0,7.284,healthcare,cybersecurity,1,en
선택된,7,6,7,1.0,7.284,frontier,safety_research,1,ko
보기,7,6,7,1.0,7.284,law,cybersecurity,1,ko
보험사,7,6,7,1.0,7.284,law,safety_research,1,ko
담당하,7,6,7,1.0,7.284,frontier,national_security,1,ko
cyber defense,7,6,7,1.0,7.284,frontier,cybersecurity,2,en
입력 토큰,7,6,7,1.0,7.284,frontier,cybersecurity,2,ko
누적되,7,6,7,1.0,7.284,safety_research,physical_ai,1,ko
모델 거버넌스,7,6,7,1.0,7.284,law,guideline,2,ko
자동화해,7,6,7,1.0,7.284,frontier,cybersecurity,1,ko
단절,7,6,7,1.0,7.284,norms,guideline,1,ko
의무 위반,7,6,7,1.0,7.284,law,national_security,2,ko
Assembly,7,6,7,1.0,7.284,standards,law,1,en
중국어,7,6,7,1.0,7.284,safety_research,guideline,1,ko
엔드포인트,7,6,7,1.0,7.284,agentic_ai,safety_research,1,ko
과도한 규제,7,6,7,1.0,7.284,national_security,law,2,ko
라운드테이블,7,6,7,1.0,7.284,incidents,national_security,1,ko
Weight,7,6,7,1.0,7.284,open_weight,frontier,1,en
넘어선,7,6,7,1.0,7.284,frontier,national_security,1,ko
취업,7,6,7,1.0,7.284,guideline,open_weight,1,ko
개선되,7,6,7,1.0,7.284,cybersecurity,safety_research,1,ko
법치,7,6,7,1.0,7.284,law,norms,1,ko
Claude Haiku,7,6,7,1.0,7.284,frontier,open_weight,2,en
법상,7,6,7,1.0,7.284,law,guideline,1,ko
Head,7,6,7,1.0,7.284,safety_research,physical_ai,1,en
되어야,7,6,7,1.0,7.284,frontier,norms,1,ko
실행 단계,7,6,7,1.0,7.284,norms,agentic_ai,2,ko
최전선,7,6,7,1.0,7.284,frontier,incidents,1,ko
유출 위험,7,6,7,1.0,7.284,cybersecurity,agentic_ai,2,ko
관련 규제,7,6,7,1.0,7.284,law,national_security,2,ko
문서들,7,6,7,1.0,7.284,guideline,frontier,1,ko
증가시킬,7,6,7,1.0,7.284,frontier,cybersecurity,1,ko
확장될,7,6,7,1.0,7.284,frontier,sovereign_ai,1,ko
데스크톱,7,6,7,1.0,7.284,frontier,safety_research,1,ko
집행 강화,7,6,7,1.0,7.284,youth,law,2,ko
under the EU,7,6,7,1.0,7.284,law,standards,3,en
강화하 방향,7,6,7,1.0,7.284,frontier,law,2,ko
작동하지,7,6,7,1.0,7.284,healthcare,frontier,1,ko
측정 가능한,7,6,7,1.0,7.284,norms,standards,2,ko
범죄 대응,7,6,7,1.0,7.284,deepfake_disinfo,norms,2,ko
창립,7,6,7,1.0,7.284,norms,frontier,1,ko
필요성 제기,7,6,7,1.0,7.284,norms,national_security,2,ko
실천강령,7,6,7,1.0,7.284,guideline,deepfake_disinfo,1,ko
